,Name,Mean,Median,Max,Min,Q1,Q3
61,Ligand 61,3.373998261,3.465023665,4.397501563,2.23102017,3.164237033,3.677986542
62,Ligand 62,3.369923107,3.378004097,4.367457956,2.258048051,3.155131524,3.62524413
63,Ligand 63,3.362438616,3.424477238,3.776647455,2.466242892,3.321501826,3.631765409
64,Ligand 64,3.513505206,3.533058333,4.100591787,2.475402392,3.340354637,3.712412924
65,Ligand 65,3.405151488,3.4294623,4.825229321,2.264384685,3.114060257,3.650579697
66,Ligand 66,3.417485935,3.43780046,4.380492324,2.517574428,3.194728836,3.653941219
67,Ligand 67,3.434019637,3.477370558,4.247094419,2.46562487,3.196654193,3.643459848
68,Ligand 68,3.495668294,3.519413161,4.288898343,2.16850317,3.34467534,3.842866806
69,Ligand 69,3.298324647,3.385484499,3.881352084,2.385488839,3.103051589,3.574357264
70,Ligand 70,3.439420011,3.478789714,4.102707643,2.474915958,3.293474641,3.719439513
71,Ligand 71,3.507749942,3.548929698,4.54763411,2.286651919,3.309721482,3.758060488
72,Ligand 72,3.507151499,3.498775824,4.316802868,2.704244442,3.311838552,3.649378195
73,Ligand 73,3.388545401,3.55270967,4.22001481,2.066798732,3.205562977,3.720050672
74,Ligand 74,3.475443189,3.502504675,4.483722226,2.391657375,3.127388207,3.844636134
75,Ligand 75,3.398761296,3.453642425,4.080183084,2.088743402,3.204248118,3.668633669
76,Ligand 76,3.422364801,3.567523511,4.133619479,2.327861465,3.119352299,3.740919303
77,Ligand 77,3.451345184,3.506530756,4.17775095,2.139676845,3.292728799,3.700824663
78,Ligand 78,3.494734589,3.531166349,4.586530061,2.626617597,3.347303646,3.700964651
79,Ligand 79,3.413592534,3.514318286,3.949637958,2.449895304,3.311880126,3.65540733
80,Ligand 80,3.636114132,3.626812099,4.208100997,2.983373426,3.451325687,3.847768964
81,Ligand 81,3.473849459,3.596867415,4.044712103,2.397615899,3.338456344,3.713083378
82,Ligand 82,3.47629533,3.508614816,4.120391486,2.987459288,3.221868944,3.665609917
83,Ligand 83,3.888500824,3.836819125,5.052246629,3.167103566,3.499244204,4.278753323
84,Ligand 84,3.457731815,3.45345291,4.216384589,2.301179046,3.224381181,3.839842835
85,Ligand 85,3.389671077,3.45351709,3.867065554,2.16478544,3.285104696,3.664979674
86,Ligand 86,3.396421087,3.467733398,4.212124049,2.199371046,3.268194744,3.739889129
87,Ligand 87,3.291163401,3.37295117,4.037839769,2.09750447,3.107335789,3.590472379
88,Ligand 88,3.359539928,3.493925745,4.341360271,1.953067587,3.152450949,3.624936587
89,Ligand 89,3.393626954,3.447732588,4.219635174,2.429781266,3.29689096,3.633426069
90,Ligand 90,3.34983989,3.468547535,4.462572128,1.922434134,3.178059471,3.655514464
91,Ligand 91,3.414438338,3.478563663,4.419941289,2.479308573,3.136555413,3.668546835
92,Ligand 92,3.511169694,3.547089151,4.534139279,2.539097084,3.165236095,3.855639719
93,Ligand 93,3.295068503,3.432113,3.821588544,2.364218687,3.147356866,3.592338416
94,Ligand 94,3.50674352,3.574361062,4.211309654,2.177330016,3.502535938,3.740487268
95,Ligand 95,3.596873259,3.550615017,4.440473173,2.861396163,3.402086034,3.727076386
96,Ligand 96,3.493055489,3.531370839,4.025277879,3.004954742,3.311470066,3.616845863
97,Ligand 97,3.39231861,3.48888304,3.978489286,1.891254874,3.166505478,3.631888527
98,Ligand 98,3.542735156,3.600104356,4.333055619,2.459597731,3.379700563,3.790605122
99,Ligand 99,3.62986471,3.599487073,4.220595456,3.175613327,3.370275082,3.823742781
100,Ligand 100,3.353991365,3.444142273,3.780268112,2.137662742,3.274985949,3.671934693
101,Ligand 101,3.379733399,3.446072656,4.101312107,2.483381767,3.301553206,3.54518952
